Taxa de fecundidade;;;;
Sigla;Código;Município;1991;2000
AM;1300904;Canutama;7,167;4,063
AM;1301001;Carauari;7;5,381
AM;1301100;Careiro;6,62;3,197
AM;1301159;Careiro da Várzea;5,436;3,316
AM;1301209;Coari;7,117;3,925
AM;1301308;Codajás;7,423;4,633
AM;1301407;Eirunepé;7,185;5,165
AM;1301506;Envira;7,002;5,011
AM;1301605;Fonte Boa;7,81;5,541
AM;1301654;Guajará;6,187;6,048
AM;1301704;Humaitá;6,542;4,35
AM;1301803;Ipixuna;6,781;5,417
AM;1301852;Iranduba;5,956;3,461
AM;1301902;Itacoatiara;4,477;3,913
AM;1301951;Itamarati;7;6,213
AM;1302009;Itapiranga;5,104;3,91
AM;1302108;Japurá;8,63;6,58
AM;1302207;Juruá;7;5,03
AM;1302306;Jutaí;6,197;5,74
AM;1302405;Lábrea;7,28;4,789
AM;1302504;Manacapuru;6,616;3,86
AM;1302553;Manaquiri;5,414;3,768
AM;1302603;Manaus;3,038;2,553
AM;1302702;Manicoré;6,285;4,322
AM;1302801;Maraã;8,631;6,584
AM;1302900;Maués;5,634;5,43
AM;1303007;Nhamundá;7,43;5,435
AM;1303106;Nova Olinda do Norte;4,768;4,675
AM;1303205;Novo Airão;6,63;4,884
AM;1303304;Novo Aripuanã;6,399;4,96
AM;1303403;Parintins;7,453;5,347
AM;1303502;Pauini;5,23;4,701
AM;1303536;Presidente Figueiredo;3,74;3,732
AM;1303569;Rio Preto da Eva;4,173;3,357
AM;1303601;Santa Isabel do Rio Negro;5,763;4,836
AM;1303700;Santo Antônio do Içá;7,805;5,743
AM;1303809;São Gabriel da Cachoeira;5,313;3,212
AM;1303908;São Paulo de Olivença;7,66;5,165
AM;1303957;São Sebastião do Uatumã;7,45;5,58
AM;1304005;Silves;7,466;5,25
AM;1304062;Tabatinga;6,142;5,2
AM;1304104;Tapauá;7,279;5,367
AM;1304203;Tefé;5,836;4,212
AM;1304237;Tonantins;6,081;5,828
AM;1304260;Uarini;7,922;5,365
AM;1304302;Urucará;6,646;5,584
AM;1304401;Urucurituba;4,916;4,68
AP;1600055;Serra do Navio;4,822;4,168
AP;1600105;Amapá;7,093;6,174
AP;1600154;Pedra Branca do Amaparí;7,29;4,817
AP;1600204;Calçoene;6,87;5,698
AP;1600212;Cutias;7,286;4,27
AP;1600238;Ferreira Gomes;6,543;4,238
AP;1600253;Itaubal;7,29;4,859
AP;1600279;Laranjal do Jari;5,594;4,088
AP;1600303;Macapá;3,749;3,248
AP;1600402;Mazagão;6,721;4,944
AP;1600501;Oiapoque;5,582;4,987
AP;1600535;Porto Grande;7,014;4,344
AP;1600550;Pracuúba;8,68;7,76
AP;1600600;Santana;5,423;4,17
AP;1600709;Tartarugalzinho;8,683;7,786
AP;1600808;Vitória do Jari;7,455;4,949
BA;2900108;Abaíra;3,389;2,18
BA;2900207;Abaré;3,846;3,067
BA;2900306;Acajutiba;4,127;3,085
BA;2900355;Adustina;5,415;3,208
BA;2900405;Água Fria;5,374;2,841
BA;2900504;Érico Cardoso;4,583;2,614
BA;2900603;Aiquara;6,547;3,57
BA;2900702;Alagoinhas;3,159;2,95
BA;2900801;Alcobaça;3,836;3,253
BA;2900900;Almadina;4,907;2,827
BA;2901007;Amargosa;4,033;2,455
BA;2901106;Amélia Rodrigues;3,797;2,38
BA;2901155;América Dourada;4,672;3,29
BA;2901205;Anagé;5,482;2,756
BA;2901304;Andaraí;6,279;4,796
BA;2901353;Andorinha;3,425;3
BA;2901403;Angical;6,786;3,789
BA;2901502;Anguera;3,85;2,25
BA;2901601;Antas;3,647;2,393
BA;2901700;Antônio Cardoso;4,548;2,818
BA;2901809;Antônio Gonçalves;4,98;3,013
BA;2901908;Aporá;4,118;2,753
BA;2901957;Apuarema;5,507;3,526
BA;2902005;Aracatu;4,219;2,992
BA;2902054;Araças;6,324;3,559
BA;2902104;Araci;5,739;5,028
BA;2902203;Aramari;4,426;2,949
BA;2902252;Arataca;6,164;3,542
BA;2902302;Aratuípe;5,188;3,466
BA;2902401;Aurelino Leal;4,849;2,812
BA;2902500;Baianópolis;5,139;3,44
BA;2902609;Baixa Grande;3,629;2,797
BA;2902658;Banzaê;5,127;3,624
BA;2902708;Barra;5,21;3,84
BA;2902807;Barra da Estiva;5,617;3,027
BA;2902906;Barra do Choça;5,21;3,26
BA;2903003;Barra do Mendes;3,886;2,688
BA;2903102;Barra do Rocha;5,108;2,982
BA;2903201;Barreiras;3,086;2,756
BA;2903235;Barro Alto;4,228;2,98
BA;2903276;Barrocas;;
BA;2903300;Governador Lomanto Júnior;4,095;2,37
BA;2903409;Belmonte;4,624;2,522
BA;2903508;Belo Campo;4,157;2,9
BA;2903607;Biritinga;4,641;3,141
BA;2903706;Boa Nova;5,41;3,264
BA;2903805;Boa Vista do Tupim;5,011;3,421
BA;2903904;Bom Jesus da Lapa;4,225;2,909
BA;2903953;Bom Jesus da Serra;3,974;2,469
BA;2904001;Boninal;3,674;2,942
BA;2904050;Bonito;6,405;3,562
BA;2904100;Boquira;3,927;3,115
BA;2904209;Botuporã;5,431;3,374
BA;2904308;Brejões;4,391;2,678
BA;2904407;Brejolândia;5,531;3,045
BA;2904506;Brotas de Macaúbas;4,243;3,965
BA;2904605;Brumado;3,736;2,371
BA;2904704;Buerarema;4,026;2,672
BA;2904753;Buritirama;5,816;4,532
BA;2904803;Caatiba;4,748;2,9
BA;2904852;Cabaceiras do Paraguaçu;5,639;3,11
BA;2904902;Cachoeira;3,891;2,51
BA;2905008;Caculé;3,581;2,93
BA;2905107;Caém;3,821;2,575
BA;2905156;Caetanos;4,346;2,66
BA;2905206;Caetité;4,108;2,866
BA;2905305;Cafarnaum;4,567;3,279
BA;2905404;Cairu;3,53;3,223
BA;2905503;Caldeirão Grande;3,474;2,701
BA;2905602;Camacan;3,857;2,73
BA;2905701;Camaçari;2,986;2,226
BA;2905800;Camamu;5,67;3,948
BA;2905909;Campo Alegre de Lourdes;4,604;3,265
BA;2906006;Campo Formoso;6,044;2,892
BA;2906105;Canápolis;4,828;2,6
BA;2906204;Canarana;3,851;2,81
BA;2906303;Canavieiras;4,307;2,8
BA;2906402;Candeal;4,001;2,728
BA;2906501;Candeias;2,985;2,23
BA;2906600;Candiba;3,642;2,452
BA;2906709;Cândido Sales;5,517;2,611
BA;2906808;Cansanção;6,887;3,787
BA;2906824;Canudos;4,64;3,63
BA;2906857;Capela do Alto Alegre;3,783;2,729
BA;2906873;Capim Grosso;4,565;2,671
BA;2906899;Caraíbas;4,286;2,764
BA;2906907;Caravelas;3,581;3,128
BA;2907004;Cardeal da Silva;5,933;5,018
BA;2907103;Carinhanha;5,714;3,635
BA;2907202;Casa Nova;3,625;2,948
BA;2907301;Castro Alves;3,707;2,489
BA;2907400;Catolândia;4,303;3,49
BA;2907509;Catu;3,121;2,38
BA;2907558;Caturama;5,061;2,851
BA;2907608;Central;3,585;3,116
BA;2907707;Chorrochó;3,257;3,206
BA;2907806;Cícero Dantas;3,51;2,726
BA;2907905;Cipó;4,925;2,924
BA;2908002;Coaraci;3,148;2,37
BA;2908101;Cocos;4,341;3,102
BA;2908200;Conceição da Feira;5,045;2,699
BA;2908309;Conceição do Almeida;3,287;2,523
BA;2908408;Conceição do Coité;4,64;2,609
BA;2908507;Conceição do Jacuípe;3,898;2,414
BA;2908606;Conde;5,604;4,56
BA;2908705;Condeúba;4,397;3,319
BA;2908804;Contendas do Sincorá;5,668;2,177
BA;2908903;Coração de Maria;4,45;3,024
BA;2909000;Cordeiros;4,755;3,127
BA;2909109;Coribe;3,52;3,093
BA;2909208;Coronel João Sá;6,91;3,428
BA;2909307;Correntina;5,15;3,623
BA;2909406;Cotegipe;6,326;3,608
BA;2909505;Cravolândia;5,926;2,739
BA;2909604;Crisópolis;5,109;3,696
BA;2909703;Cristópolis;5,798;3,386
BA;2909802;Cruz das Almas;3,437;2,15
BA;2909901;Curaçá;4,691;2,849
BA;2910008;Dário Meira;5,829;3,447
BA;2910057;Dias d'Ávila;3,497;2,334
BA;2910107;Dom Basílio;4,189;2,56
BA;2910206;Dom Macedo Costa;3,982;2,56
BA;2910305;Elísio Medrado;3,825;2,25
BA;2910404;Encruzilhada;3,979;3,083
BA;2910503;Entre Rios;5,105;3,518
BA;2910602;Esplanada;4,166;3,52
BA;2910701;Euclides da Cunha;4;3,247
BA;2910727;Eunápolis;2,989;2,63
BA;2910750;Fátima;4,693;3,399
BA;2910776;Feira da Mata;5,85;3,171
BA;2910800;Feira de Santana;2,936;2,25
BA;2910859;Filadélfia;4,97;3,804
BA;2910909;Firmino Alves;3,84;3,074
BA;2911006;Floresta Azul;4,366;2,499
BA;2911105;Formosa do Rio Preto;5,655;3,49
BA;2911204;Gandu;4,315;2,798
BA;2911253;Gavião;4,497;2,769
BA;2911303;Gentio do Ouro;3,72;2,903
BA;2911402;Glória;4,044;2,51
BA;2911501;Gongogi;5,671;3,023
BA;2911600;Governador Mangabeira;4,391;2,409
BA;2911659;Guajeru;4,97;3,066
BA;2911709;Guanambi;2,552;2,313
BA;2911808;Guaratinga;4,44;2,764
BA;2911857;Heliópolis;4,045;3,082
BA;2911907;Iaçu;5,723;3,325
BA;2912004;Ibiassucê;3,128;2,31
