Índice de Desenvolvimento Humano Municipal-ed 2003;;;;
Sigla;Código;Município;1991;2000
AM;1300839;Caapiranga;0,541;0,624
AM;1300904;Canutama;0,481;0,546
AM;1301001;Carauari;0,496;0,575
AM;1301100;Careiro;0,56;0,63
AM;1301159;Careiro da Várzea;0,579;0,658
AM;1301209;Coari;0,542;0,627
AM;1301308;Codajás;0,564;0,593
AM;1301407;Eirunepé;0,488;0,562
AM;1301506;Envira;0,42;0,513
AM;1301605;Fonte Boa;0,517;0,532
AM;1301654;Guajará;0,477;0,504
AM;1301704;Humaitá;0,556;0,678
AM;1301803;Ipixuna;0,415;0,487
AM;1301852;Iranduba;0,619;0,694
AM;1301902;Itacoatiara;0,657;0,711
AM;1301951;Itamarati;0,433;0,505
AM;1302009;Itapiranga;0,656;0,694
AM;1302108;Japurá;0,474;0,577
AM;1302207;Juruá;0,457;0,546
AM;1302306;Jutaí;0,488;0,533
AM;1302405;Lábrea;0,489;0,598
AM;1302504;Manacapuru;0,596;0,663
AM;1302553;Manaquiri;0,585;0,663
AM;1302603;Manaus;0,745;0,774
AM;1302702;Manicoré;0,551;0,621
AM;1302801;Maraã;0,474;0,56
AM;1302900;Maués;0,649;0,689
AM;1303007;Nhamundá;0,607;0,656
AM;1303106;Nova Olinda do Norte;0,604;0,629
AM;1303205;Novo Airão;0,6;0,656
AM;1303304;Novo Aripuanã;0,559;0,624
AM;1303403;Parintins;0,658;0,696
AM;1303502;Pauini;0,433;0,532
AM;1303536;Presidente Figueiredo;0,692;0,741
AM;1303569;Rio Preto da Eva;0,644;0,677
AM;1303601;Santa Isabel do Rio Negro;0,503;0,548
AM;1303700;Santo Antônio do Içá;0,498;0,525
AM;1303809;São Gabriel da Cachoeira;0,608;0,673
AM;1303908;São Paulo de Olivença;0,518;0,536
AM;1303957;São Sebastião do Uatumã;0,661;0,659
AM;1304005;Silves;0,684;0,675
AM;1304062;Tabatinga;0,624;0,699
AM;1304104;Tapauá;0,407;0,498
AM;1304203;Tefé;0,62;0,663
AM;1304237;Tonantins;0,57;0,587
AM;1304260;Uarini;0,611;0,599
AM;1304302;Urucará;0,64;0,698
AM;1304401;Urucurituba;0,569;0,663
AP;1600055;Serra do Navio;0,684;0,743
AP;1600105;Amapá;0,646;0,72
AP;1600154;Pedra Branca do Amaparí;0,497;0,625
AP;1600204;Calçoene;0,636;0,688
AP;1600212;Cutias;0,583;0,675
AP;1600238;Ferreira Gomes;0,642;0,72
AP;1600253;Itaubal;0,534;0,642
AP;1600279;Laranjal do Jari;0,635;0,732
AP;1600303;Macapá;0,73;0,772
AP;1600402;Mazagão;0,572;0,659
AP;1600501;Oiapoque;0,668;0,738
AP;1600535;Porto Grande;0,632;0,719
AP;1600550;Pracuúba;0,533;0,66
AP;1600600;Santana;0,651;0,742
AP;1600709;Tartarugalzinho;0,59;0,667
AP;1600808;Vitória do Jari;0,551;0,659
BA;2900108;Abaíra;0,591;0,681
BA;2900207;Abaré;0,51;0,595
BA;2900306;Acajutiba;0,508;0,607
BA;2900355;Adustina;0,4;0,551
BA;2900405;Água Fria;0,464;0,572
BA;2900504;Érico Cardoso;0,512;0,592
BA;2900603;Aiquara;0,507;0,627
BA;2900702;Alagoinhas;0,653;0,729
BA;2900801;Alcobaça;0,506;0,637
BA;2900900;Almadina;0,49;0,623
BA;2901007;Amargosa;0,561;0,662
BA;2901106;Amélia Rodrigues;0,584;0,695
BA;2901155;América Dourada;0,496;0,564
BA;2901205;Anagé;0,494;0,586
BA;2901304;Andaraí;0,47;0,569
BA;2901353;Andorinha;0,459;0,57
BA;2901403;Angical;0,53;0,625
BA;2901502;Anguera;0,538;0,623
BA;2901601;Antas;0,511;0,632
BA;2901700;Antônio Cardoso;0,499;0,647
BA;2901809;Antônio Gonçalves;0,476;0,62
BA;2901908;Aporá;0,507;0,604
BA;2901957;Apuarema;0,48;0,617
BA;2902005;Aracatu;0,508;0,596
BA;2902054;Araças;0,458;0,569
BA;2902104;Araci;0,424;0,557
BA;2902203;Aramari;0,521;0,588
BA;2902252;Arataca;0,45;0,578
BA;2902302;Aratuípe;0,469;0,611
BA;2902401;Aurelino Leal;0,468;0,574
BA;2902500;Baianópolis;0,478;0,592
BA;2902609;Baixa Grande;0,508;0,66
BA;2902658;Banzaê;0,458;0,592
BA;2902708;Barra;0,485;0,586
BA;2902807;Barra da Estiva;0,532;0,639
BA;2902906;Barra do Choça;0,481;0,603
BA;2903003;Barra do Mendes;0,555;0,636
BA;2903102;Barra do Rocha;0,419;0,579
BA;2903201;Barreiras;0,628;0,723
BA;2903235;Barro Alto;0,534;0,621
BA;2903276;Barrocas;;
BA;2903300;Governador Lomanto Júnior;0,466;0,606
BA;2903409;Belmonte;0,493;0,618
BA;2903508;Belo Campo;0,523;0,631
BA;2903607;Biritinga;0,506;0,596
BA;2903706;Boa Nova;0,452;0,564
BA;2903805;Boa Vista do Tupim;0,508;0,605
BA;2903904;Bom Jesus da Lapa;0,554;0,654
BA;2903953;Bom Jesus da Serra;0,444;0,584
BA;2904001;Boninal;0,55;0,656
BA;2904050;Bonito;0,5;0,591
BA;2904100;Boquira;0,559;0,638
BA;2904209;Botuporã;0,479;0,62
BA;2904308;Brejões;0,533;0,643
BA;2904407;Brejolândia;0,531;0,634
BA;2904506;Brotas de Macaúbas;0,542;0,628
BA;2904605;Brumado;0,599;0,693
BA;2904704;Buerarema;0,536;0,631
BA;2904753;Buritirama;0,461;0,582
BA;2904803;Caatiba;0,489;0,606
BA;2904852;Cabaceiras do Paraguaçu;0,466;0,592
BA;2904902;Cachoeira;0,598;0,681
BA;2905008;Caculé;0,583;0,696
BA;2905107;Caém;0,488;0,58
BA;2905156;Caetanos;0,464;0,58
BA;2905206;Caetité;0,558;0,673
BA;2905305;Cafarnaum;0,476;0,598
BA;2905404;Cairu;0,516;0,639
BA;2905503;Caldeirão Grande;0,472;0,588
BA;2905602;Camacan;0,54;0,631
BA;2905701;Camaçari;0,651;0,734
BA;2905800;Camamu;0,513;0,624
BA;2905909;Campo Alegre de Lourdes;0,495;0,58
BA;2906006;Campo Formoso;0,472;0,613
BA;2906105;Canápolis;0,484;0,625
BA;2906204;Canarana;0,528;0,601
BA;2906303;Canavieiras;0,523;0,639
BA;2906402;Candeal;0,53;0,61
BA;2906501;Candeias;0,631;0,719
BA;2906600;Candiba;0,532;0,645
BA;2906709;Cândido Sales;0,511;0,636
BA;2906808;Cansanção;0,469;0,538
BA;2906824;Canudos;0,473;0,599
BA;2906857;Capela do Alto Alegre;0,548;0,634
BA;2906873;Capim Grosso;0,51;0,607
BA;2906899;Caraíbas;0,459;0,578
BA;2906907;Caravelas;0,488;0,667
BA;2907004;Cardeal da Silva;0,48;0,602
BA;2907103;Carinhanha;0,487;0,607
BA;2907202;Casa Nova;0,511;0,611
BA;2907301;Castro Alves;0,551;0,642
BA;2907400;Catolândia;0,516;0,626
BA;2907509;Catu;0,622;0,716
BA;2907558;Caturama;0,52;0,605
BA;2907608;Central;0,537;0,614
BA;2907707;Chorrochó;0,49;0,589
BA;2907806;Cícero Dantas;0,464;0,574
BA;2907905;Cipó;0,522;0,61
BA;2908002;Coaraci;0,559;0,655
BA;2908101;Cocos;0,505;0,615
BA;2908200;Conceição da Feira;0,586;0,668
BA;2908309;Conceição do Almeida;0,551;0,642
BA;2908408;Conceição do Coité;0,52;0,611
BA;2908507;Conceição do Jacuípe;0,628;0,695
BA;2908606;Conde;0,475;0,594
BA;2908705;Condeúba;0,559;0,631
BA;2908804;Contendas do Sincorá;0,476;0,619
BA;2908903;Coração de Maria;0,517;0,64
BA;2909000;Cordeiros;0,522;0,615
BA;2909109;Coribe;0,519;0,611
BA;2909208;Coronel João Sá;0,391;0,526
BA;2909307;Correntina;0,516;0,642
BA;2909406;Cotegipe;0,481;0,607
BA;2909505;Cravolândia;0,493;0,636
BA;2909604;Crisópolis;0,452;0,553
BA;2909703;Cristópolis;0,527;0,619
BA;2909802;Cruz das Almas;0,638;0,723
BA;2909901;Curaçá;0,521;0,626
BA;2910008;Dário Meira;0,426;0,549
BA;2910057;Dias d'Ávila;0,65;0,732
BA;2910107;Dom Basílio;0,528;0,639
BA;2910206;Dom Macedo Costa;0,542;0,647
BA;2910305;Elísio Medrado;0,564;0,655
BA;2910404;Encruzilhada;0,465;0,602
BA;2910503;Entre Rios;0,525;0,628
BA;2910602;Esplanada;0,533;0,609
BA;2910701;Euclides da Cunha;0,453;0,596
BA;2910727;Eunápolis;0,607;0,704
BA;2910750;Fátima;0,408;0,554
BA;2910776;Feira da Mata;0,537;0,634
BA;2910800;Feira de Santana;0,659;0,74
BA;2910859;Filadélfia;0,459;0,586
BA;2910909;Firmino Alves;0,548;0,641
BA;2911006;Floresta Azul;0,55;0,641
BA;2911105;Formosa do Rio Preto;0,558;0,646
BA;2911204;Gandu;0,567;0,674
BA;2911253;Gavião;0,522;0,64
BA;2911303;Gentio do Ouro;0,521;0,575
BA;2911402;Glória;0,511;0,641
BA;2911501;Gongogi;0,5;0,586
BA;2911600;Governador Mangabeira;0,55;0,676
BA;2911659;Guajeru;0,525;0,633
BA;2911709;Guanambi;0,617;0,701
BA;2911808;Guaratinga;0,485;0,593
BA;2911857;Heliópolis;0,43;0,58
